Alimento,Preco_Medio,Mes,Mes_Numero,Ano
Óleo,6.81,SETEMBRO,9,2024
Óleo,7.17,OUTUBRO,10,2024
Óleo,7.81,NOVEMBRO,11,2024
Óleo,8.59,DEZEMBRO,12,2024
Óleo,8.84,JANEIRO,1,2025
Óleo,8.57,FEVEREIRO,2,2025
Óleo,8.43,MARÇO,3,2025
Óleo,8.1,ABRIL,4,2025
Óleo,7.77,MAIO,5,2025
Óleo,7.71,JUNHO,6,2025
Óleo,7.67,JULHO,7,2025
Óleo,7.66,AGOSTO,8,2025
Óleo,7.87,SETEMBRO,9,2025
