Distrito,Matrículas no ensino básico em escolas públicas,Idade média ao morrer,Acesso internet móvel (por área/km²),Equipamentos públicos de cultura,Ideb (Escolas públicas - anos iniciais),Ideb (Escolas públicas - anos finais),Equipamentos públicos de esporte,Homicídios,Favelas,Gravidez na adolescência,Mortalidade materna,Mortalidade infantil,Tempo médio para consultas na atenção básica,Incidência de dengue,Abandono escolar no ensino fundamental da rede municipal,Esforço docente,Emissão de poluentes atmosféricos por área (kg/km²/dia),Violência racial,Tempo de atendimento para vaga em creche,Adequação da formação docente,Distorção idade-série no ensino fundamental da rede municipal,Tempo médio de deslocamento por transporte público,Mortalidade por doenças do aparelho respiratório,Violência contra a mulher (todas)
BELA VISTA,62.25355969,72,41.17647059,1.3604,5.7,4.3,0.0,1.4,0.0,5.108,0.0,17.682,29.0,91.1,5.607476636,10.55,0.863240868,5.182265741,5,2.7,4.2,28,76.18218425,476.0585236
MORUMBI,28.44810673,74,11.74934726,1.8516,NAO INFORMADO,NAO INFORMADO,0.0,1.9,14.4091,4.661,68.21282401,6.356,3.0,96.3,2.307692308,9.45,0.2525025561,3.190630806,3,4.433333333,7.7,32,77.76769678,217.2250268
PIRITUBA,73.9131689,70,3.855140187,1.1656,5.828571429,5.125,0.4082346766,5.3,6.7204,5.363,36.51634106,8.667,21.0,133.5,2.250302925,7.472222222,0.2908369162,1.458976499,6,6.196296296,5.5375,42,93.24824431,256.3265306
CONSOLACAO,24.67166067,79,32.98429319,3.5041,NAO INFORMADO,NAO INFORMADO,0.0,1.7,0.0,1.534,0.0,3.067,NAO INFORMADO,87.6,NAO INFORMADO,NAO INFORMADO,0.441568628,5.061435353,6,NAO INFORMADO,NAO INFORMADO,28,106.8750438,362.1220351
SE,77.08894879,60,43.83561644,18.3547,5.7,4.6,0.0,26.2,0.0,6.641,125.6281407,11.719,23.0,216.6,4.609929078,6.25,1.695100453,0.5856413749,14,8.233333333,13.7,26,58.73499504,881.9193138
VILA MARIANA,23.31153056,79,18.8372093,3.039,7.3,5.3,0.3034279776,0.0,0.8382,1.307,0.0,6.03,14.0,104.1,2.044989775,0.0,0.3973171081,1.096808849,12,10.6,7.2,29,110.9220203,236.7190374
VILA GUILHERME,78.61345613,73,6.944444444,3.4794,5.8,5.35,0.3487540761,1.8,2.0633,5.991,201.9182231,10.753,20.0,388.0,1.100052383,5.833333333,0.2369369991,2.971352665,13,9.966666667,7.366666667,34,102.6426123,335.5704698
ALTO DE PINHEIROS,8.140826299,82,7.238605898,2.4876,NAO INFORMADO,NAO INFORMADO,0.0,2.4,0.0,0.0,0.0,3.759,NAO INFORMADO,156.7,NAO INFORMADO,NAO INFORMADO,0.1525304456,1.965215682,2,NAO INFORMADO,NAO INFORMADO,30,101.9925869,206.5692751
BARRA FUNDA,9.945454545,73,15.04273504,0.0,NAO INFORMADO,NAO INFORMADO,1.206709304,6.2,1.0442,1.796,0.0,8.982,NAO INFORMADO,297.5,NAO INFORMADO,NAO INFORMADO,0.6737140377,18.35760617,3,NAO INFORMADO,NAO INFORMADO,26,136.8396002,455.1814196
CAMPO GRANDE,48.30971018,73,5.791505792,0.0,6.0,5.316666667,0.7452328387,3.7,3.6941,3.563,35.29827038,11.136,39.0,105.0,1.862497126,3.975,0.4323412257,1.961956725,6,5.194444444,4.6,35,95.67066997,234.6798571
VILA LEOPOLDINA,58.33229929,76,5.436337625,0.0,5.35,4.4,0.0,4.4,4.3777,3.133,79.42811755,9.639,23.0,161.0,2.511210762,3.35,0.1823939753,3.966679889,7,5.35,8.8,31,71.81406685,216.2162162
LIBERDADE,37.56631867,74,16.16438356,17.7668,6.1,NAO INFORMADO,0.1369000356,2.7,0.2791,4.143,0.0,13.183,35.0,90.2,1.963534362,7.15,0.3259788558,3.291142712,8,5.933333333,5.6,32,77.90077901,344.9985129
BUTANTA,48.48868015,79,5.019305019,18.7182,5.9,5.25,0.3733990516,3.7,1.3084,3.292,0.0,2.058,22.0,162.8,0.4422999598,2.45,0.3735506423,0.4550921562,4,8.744444444,2.833333333,30,127.2836178,345.1183912
CASA VERDE,71.14898619,73,6.388888889,1.1645,5.466666667,4.733333333,0.1163900463,1.2,0.1214,6.468,0.0,7.762,23.0,187.5,0.7386888273,2.583333333,0.3233082009,2.908295622,4,8.1,6.0,36,108.3019879,320.8423147
JAGUARE,86.51459242,72,4.863221884,0.0,5.45,NAO INFORMADO,0.7152564194,3.6,8.048,5.838,50.32712632,7.485,19.0,81.7,3.410404624,6.9,0.1517964256,1.619957881,4,5.883333333,7.45,39,62.17579763,182.5323475
SAUDE,23.22407387,79,10.84854995,0.0,6.9,NAO INFORMADO,0.0,3.7,0.9274,1.579,0.0,3.949,24.0,94.2,2.279202279,2.5,0.3352612051,1.268353826,5,9.966666667,4.8,29,98.65765793,180.2557116
PARQUE DO CARMO,82.4657848,67,1.293661061,1.3769,5.8,5.1,0.138249485,4.2,14.3661,7.346,35.5366027,9.868,19.0,59.2,2.888368462,1.6,0.2013666845,1.665718133,6,6.216666667,3.5,49,93.63166954,275.2569782
ERMELINO MATARAZZO,77.27304839,67,3.407880724,1.6684,6.0,4.833333333,0.4184555642,5.9,8.4976,7.719,67.95016988,10.431,17.0,226.1,0.7070707071,8.966666667,0.2410711982,0.9105067689,3,5.6,3.166666667,50,94.26721837,246.4920084
MOEMA,18.00059506,79,21.36563877,4.4551,6.2,4.6,0.3346272253,0.0,0.0,0.139,0.0,4.184,23.0,76.9,1.028806584,0.0,0.5304691674,2.457633746,4,6.6,4.6,28,91.32928663,236.8250889
SACOMA,84.19379778,68,5.151098901,0.7496,5.723076923,4.9875,0.4515522107,4.9,23.4708,7.222,46.78362573,12.451,31.0,59.6,2.082347373,7.103571429,0.2171213615,1.09563785,3,6.042857143,5.685714286,43,91.07468124,198.1367594
JARDIM SAO LUIS,86.02746475,65,2.879078695,0.6669,5.746153846,4.92,0.3358026018,3.7,20.2745,8.542,32.28583728,13.542,8.0,53.4,1.89264971,10.68214286,0.31508983,0.9806507463,4,5.771428571,5.871428571,47,55.02310971,227.1892673
PERDIZES,19.41711665,80,16.5615142,0.0,6.6,5.4,0.08717635777,2.6,0.0,0.553,0.0,5.533,10.0,204.1,1.030927835,0.0,0.2891494049,2.178630252,4,2.8,8.5,31,77.6146997,181.4377717
SOCORRO,62.73285568,74,2.422723475,2.8133,6.25,5.1,1.120165785,0.0,6.1658,2.848,112.6126126,12.658,19.0,129.4,1.474604042,0.9333333333,0.3422003359,1.672660366,8,5.011111111,6.066666667,36,120.9700107,316.5784832
SANTA CECILIA,51.37608171,74,19.68085106,0.0,NAO INFORMADO,NAO INFORMADO,0.2254689755,1.1,0.919,2.762,47.93863854,2.907,29.0,145.3,3.501945525,0.0,0.5625920013,4.739764366,3,NAO INFORMADO,NAO INFORMADO,29,109.2403852,254.6538802
CAMBUCI,34.70513852,73,8.396946565,0.0,NAO INFORMADO,NAO INFORMADO,0.4876145894,0.0,0.0,4.31,0.0,8.621,NAO INFORMADO,99.5,NAO INFORMADO,NAO INFORMADO,0.3397335813,2.203613927,15,NAO INFORMADO,NAO INFORMADO,32,101.9640213,274.5913393
MANDAQUI,66.70678406,74,3.094339623,0.9142,5.85,4.733333333,0.2743885708,2.7,3.0351,6.582,0.0,9.238,32.0,188.3,0.6209037599,7.4,0.117602769,1.647129876,8,5.45,3.575,43,95.99210122,233.2926791
LAPA,30.22719294,79,8.949416342,7.4728,NAO INFORMADO,NAO INFORMADO,0.4477812439,7.4,0.5052,1.138,0.0,8.535,16.0,227.2,NAO INFORMADO,NAO INFORMADO,0.5345687545,0.6191988805,9,NAO INFORMADO,NAO INFORMADO,30,141.9838886,310.2840883
CAMPO BELO,42.00908827,79,16.41961231,0.0,5.633333333,4.5,0.474856356,3.1,9.9716,3.994,50.94243505,1.597,24.0,101.8,4.615384615,6.433333333,0.4486315743,2.521273243,10,8.344444444,8.3,29,124.0181893,258.4398245
JARAGUA,90.14583187,64,1.941404871,0.4571,5.35,4.7625,0.1845120579,5.2,13.3818,8.236,38.41721091,12.821,17.0,93.7,1.657048169,7.063636364,0.1683425164,1.117339243,3,5.592424242,5.145454545,50,70.84289332,214.5086963
CIDADE ADEMAR,88.51482814,65,4.862236629,0.3447,5.56,4.9,0.13857469,7.4,14.5726,7.991,40.0,9.639,24.0,66.2,2.387867054,7.275,0.4513558304,0.5338007055,5,5.033333333,6.8375,44,78.58194063,219.7134285
IPIRANGA,54.55741814,74,6.630336058,5.3023,5.3,4.0,0.4430777956,0.0,3.2253,5.291,29.6735905,7.175,31.0,115.8,6.395786305,8.7,0.3332230058,0.488648094,5,4.65,9.35,31,106.046413,230.2817698
PONTE RASA,79.97715301,70,3.787878788,0.0,5.816666667,5.1,0.4475674708,2.2,3.4035,7.358,75.87253414,18.094,15.0,171.6,1.397058824,8.058333333,0.512862042,1.339674459,4,5.566666667,5.633333333,47,124.4799318,266.5495021
REPUBLICA,66.55808903,67,42.5,24.1146,NAO INFORMADO,NAO INFORMADO,0.0,9.7,0.0,5.455,143.6781609,12.121,0.0,65.9,NAO INFORMADO,NAO INFORMADO,1.295656454,10.49131642,5,NAO INFORMADO,NAO INFORMADO,26,85.20489365,615.8406981
VILA ANDRADE,67.97087686,69,8.14742968,0.0,5.36,4.6,0.05933556039,4.9,35.3453,6.525,46.13964934,7.092,7.0,71.9,4.904904905,9.21,0.3646034281,0.8433531722,4,5.24,9.76,38,44.41846873,132.9407566
SAPOPEMBA,89.26163724,67,3.374908291,0.3428,5.575,4.973333333,0.2405118091,8.3,18.7698,8.675,84.48621819,7.007,26.0,59.3,1.582754422,5.316666667,0.3678717017,0.9641707271,8,6.3,5.119047619,49,92.90876428,213.9102949
CURSINO,66.63241716,72,4.073150457,0.8746,5.8,5.2,0.087615543,2.6,6.3186,6.744,0.0,10.537,19.0,84.8,4.003481288,7.75,0.1604382238,1.141041508,5,10.38333333,8.2,35,108.4532295,226.9741164
LIMAO,74.42133202,70,6.037151703,1.2549,5.1,NAO INFORMADO,0.2510103165,2.5,8.2089,5.915,0.0,16.429,20.0,154.4,0.6504065041,6.35,0.3546149886,1.757292765,3,9.65,8.2,37,102.9038978,286.3913882
VILA MARIA,77.7267231,69,5.067567568,0.8758,5.34,4.68,0.262848932,7.9,17.1976,7.96,119.4505276,10.739,16.0,322.3,1.349072513,4.771428571,0.273327997,0.7889200561,11,5.223809524,5.457142857,37,105.9683846,250.9159201
SAO RAFAEL,92.15310495,62,3.593272171,1.8319,5.35,4.88,0.1231572595,4.4,9.1911,10.159,34.54828122,14.827,27.0,55.6,2.050224433,7.644444444,0.1876980891,0.5588916557,6,4.985185185,5.644444444,54,59.23266223,202.7653746
VILA JACUI,91.61703141,65,3.985507246,0.6795,5.888888889,4.825,0.2044641336,5.5,4.6806,8.929,40.0,10.119,18.0,189.6,1.529562982,9.0,0.2774850687,1.367240908,3,5.59,3.29,57,83.57908756,232.6507661
VILA PRUDENTE,59.41094374,74,5.213764338,0.9572,5.533333333,4.8,0.4782766735,1.9,5.2136,5.739,32.49918752,8.502,21.0,81.4,2.05371248,3.75,0.3515664995,0.8080873381,6,7.058333333,5.2,35,100.5092469,249.2349434
JARDIM HELENA,96.98509078,64,2.295081967,0.7303,5.544444444,5.275,0.3663325714,4.4,12.1693,10.183,34.71619511,11.853,25.0,71.6,1.421113689,9.505555556,0.1347722885,1.029056135,5,4.92962963,3.866666667,54,86.17667679,228.0661519
ANHANGUERA,92.77478862,58,0.7451564829,2.2554,5.728571429,5.12,0.3434891629,13.0,3.6795,7.859,110.0917431,17.084,14.0,218.8,0.3518518519,9.892857143,0.065140139,0.5812601721,7,6.333333333,2.742857143,54,34.95833192,187.012987
BOM RETIRO,69.64010723,70,11.16389549,10.0361,NAO INFORMADO,NAO INFORMADO,0.758955677,5.1,0.0,10.022,0.0,4.454,28.0,90.3,NAO INFORMADO,NAO INFORMADO,0.2477678445,2.295801235,4,NAO INFORMADO,NAO INFORMADO,27,87.8161381,443.7240401
PARELHEIROS,96.51755567,63,0.3603957801,1.2558,5.766666667,5.0,0.1906492879,11.1,7.9392,11.257,103.9655428,13.164,10.0,54.0,1.664585934,9.341666667,0.0295070345,0.7320152991,11,2.444444444,3.416666667,62,79.11293057,239.5535024
CIDADE TIRADENTES,98.09670866,60,2.675585284,3.7127,5.285,4.781818182,0.2082196801,8.1,4.0135,10.879,33.95970115,14.158,19.0,68.5,1.181218624,10.378,0.3214845192,0.8828277393,2,5.825333333,5.032,66,58.99145243,247.4768196
JOSE BONIFACIO,99.54268293,66,1.853122855,2.1568,5.6,5.25,0.361671501,8.8,2.0654,8.286,0.0,11.331,28.0,43.1,2.014910336,4.916666667,0.2068112897,1.018908022,6,6.794444444,4.266666667,52,65.4229124,242.2060588
AGUA RASA,62.49620038,77,5.431754875,1.2245,6.125,5.333333333,0.2440095652,2.4,0.1033,2.941,40.83299306,1.279,31.0,84.5,1.282051282,9.7,0.274809209,2.674316834,10,4.516666667,5.8,36,151.8435522,269.7203048
CACHOEIRINHA,83.26743403,66,2.880354505,2.0295,5.9,4.75,0.06786838962,6.8,20.426,10.191,17.48251748,8.719,26.0,178.6,1.216832854,7.125,0.2449935388,1.089428459,2,5.8875,4.228571429,44,94.70914146,269.1308509
