Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
LESTE 1,MOOCA,TATUAPE,933,PCD,SETEMBRO,2024
LESTE 1,PENHA,ARTUR ALVIM,1652,PCD,SETEMBRO,2024
LESTE 1,PENHA,CANGAIBA,2289,PCD,SETEMBRO,2024
LESTE 1,PENHA,PENHA,1913,PCD,SETEMBRO,2024
LESTE 1,PENHA,VILA MATILDE,1682,PCD,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,2008,PCD,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,1134,PCD,SETEMBRO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,4913,PCD,SETEMBRO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,3367,PCD,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,2113,PCD,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,1688,PCD,SETEMBRO,2024
LESTE 2,GUAIANASES,GUAIANASES,1782,PCD,SETEMBRO,2024
LESTE 2,GUAIANASES,LAJEADO,3056,PCD,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,3719,PCD,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,2745,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,2346,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,ITAQUERA,3286,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,1747,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,PARQUE DO CARMO,1130,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,IGUATEMI,2344,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO MATEUS,2745,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO RAFAEL,2192,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,JARDIM HELENA,2440,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,SAO MIGUEL,1611,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,VILA JACUI,2328,PCD,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,JACANA,1562,PCD,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,TREMEMBE,3270,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,MANDAQUI,1419,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,SANTANA,1271,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,TUCURUVI,1418,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA GUILHERME,760,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MARIA,1668,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MEDEIROS,2499,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CACHOEIRINHA,2372,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CASA VERDE,1321,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,LIMAO,1205,PCD,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,BRASILANDIA,4350,PCD,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,FREGUESIA DO O,2147,PCD,SETEMBRO,2024
NORTE 2,PERUS,ANHANGUERA,707,PCD,SETEMBRO,2024
NORTE 2,PERUS,PERUS,1175,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,JARAGUA,2733,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,PIRITUBA,2265,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,SAO DOMINGOS,1006,PCD,SETEMBRO,2024
OESTE,BUTANTA,BUTANTA,464,PCD,SETEMBRO,2024
